key,value
1039,62,
1040,107,
1041,86,
1042,53,
1043,57,
1044,91,
1045,142,
1046,56,
1047,75,
1048,21,
1049,48,
1050,27,
1051,46,
1052,204,
1053,30,
1054,90,
1055,80,
1056,126,
1057,62,
1058,49,
1059,17,
1060,78,
1061,52,
1062,57,
1063,128,
1064,44,
1065,110,
1066,20,
1067,49,
1068,66,
1069,51,
1070,34,
1071,22,
1072,26,
1073,61,
1074,205,
1075,84,
1076,75,
1077,64,
1078,88,
1079,59,
1080,72,
1081,116,
1082,89,
1083,104,
1084,138,
1085,59,
1086,41,
1087,54,
1088,195,
1089,57,
1090,56,
1091,110,
1092,16,
1093,79,
1094,56,
1095,46,
1096,43,
1097,81,
1098,51,
1099,101,
1100,218,
1101,33,
1102,44,
1103,78,
1104,198,
1105,38,
1106,16,
1107,34,
1108,55,
1109,61,
1110,87,
1111,121,
1112,75,
1113,94,
1114,114,
1115,30,
1116,43,
1117,150,
1118,75,
1119,63,
1120,299,
1121,95,
1122,125,
1123,14,
1124,157,
1125,67,
1126,35,
1127,62,
1128,86,
1129,85,
1130,49,
1131,94,
1132,67,
1133,54,
1134,52,
1135,55,
1136,50,
1137,69,
1138,29,
1139,119,
1140,157,
1141,91,
1142,72,
1143,94,
1144,112,
1145,184,
1146,118,
1147,52,
1148,22,
1149,31,
1150,37,
1151,87,
1152,130,
1153,70,
1154,71,
1155,90,
1156,81,
1157,125,
1158,214,
1159,95,
1160,252,
1161,18,
1162,55,
1163,63,
1164,80,
1165,173,
1166,98,
1167,145,
1168,89,
1169,47,
1170,57,
1171,193,
1172,55,
1173,141,
1174,34,
1175,27,
1176,156,
1177,80,
1178,70,
1179,19,
1180,100,
1181,62,
1182,146,
1183,29,
1184,45,
1185,72,
1186,56,
1187,117,
1188,33,
1189,37,
1190,112,
1191,135,
1192,76,
1193,36,
1194,79,
1195,52,
1196,30,
1197,193,
1198,59,
1199,64,
1200,168,
1201,44,
1202,175,
1203,83,
1204,30,
1205,52,
1206,97,
1207,23,
1208,26,
1209,73,
1210,78,
1211,54,
1212,79,
1213,73,
1214,181,
1215,123,
1216,122,
1217,119,
1218,40,
1219,43,
1220,66,
1221,44,
1222,61,
1223,13,
1224,207,
1225,88,
1226,58,
1227,72,
1228,78,
1229,90,
1230,134,
1231,79,
1232,67,
1233,123,
1234,45,
1235,25,
1236,55,
1237,66,
1238,89,
1239,48,
1240,31,
1241,20,
1242,73,
1243,184,
1244,82,
1245,94,
1246,100,
1247,59,
1248,57,
1249,61,
1250,68,
1251,25,
1252,39,
1253,61,
1254,14,
1255,66,
1256,109,
1257,63,
1258,46,
1259,37,
1260,35,
1261,43,
1262,63,
1263,33,
1264,62,
1265,75,
1266,60,
1267,88,
1268,147,
1269,49,
1270,154,
1271,59,
1272,34,
1273,44,
1274,58,
1275,170,
1276,4,
1277,55,
1278,132,
1279,111,
1280,21,
1281,68,
1282,50,
1283,50,
1284,119,
1285,60,
1286,60,
1287,115,
1288,39,
1289,81,
1290,61,
1291,38,
1292,24,
1293,88,
1294,47,
1295,18,
1296,149,
1297,143,
1298,35,
1299,115,
1300,69,
1301,19,
1302,174,
1303,76,
1304,115,
1305,82,
1306,203,
1307,113,
1308,86,
1309,29,
1310,110,
1311,61,
1312,27,
1313,19,
1314,105,
1315,58,
1316,42,
1317,8,
1318,111,
1319,41,
1320,69,
1321,46,
1322,44,
1323,98,
1324,135,
1325,93,
1326,65,
1327,261,
1328,61,
1329,61,
1330,63,
1331,103,
1332,61,
1333,74,
1334,108,
1335,105,
1336,43,
1337,38,
1338,75,
1339,81,
1340,93,
1341,40,
1342,59,
1343,195,
1344,57,
1345,52,
1346,83,
1347,45,
1348,235,
1349,91,
1350,81,
1351,40,
1352,52,
1353,22,
1354,45,
1355,41,
1356,102,
1357,151,
1358,62,
1359,97,
1360,86,
1361,50,
1362,88,
1363,56,
1364,77,
1365,47,
1366,52,
1367,77,
1368,59,
1369,85,
1370,233,
1371,115,
1372,50,
1373,75,
1374,118,
1375,125,
1376,16,
1377,144,
1378,101,
1379,130,
1380,67,
1381,23,
1382,15,
1383,109,
1384,93,
1385,143,
1386,112,
1387,123,
1388,84,
1389,82,
1390,104,
1391,52,
1392,151,
1393,95,
1394,74,
1395,35,
1396,14,
1397,40,
1398,43,
1399,225,
1400,74,
1401,115,
1402,82,
1403,60,
1404,89,
1405,27,
1406,79,
1407,100,
1408,63,
1409,120,
1410,44,
1411,60,
1412,29,
1413,17,
1414,4,
1415,132,
1416,81,
1417,211,
1418,35,
1419,112,
1420,161,
1421,79,
1422,39,
1423,71,
1424,284,
1425,69,
1426,32,
1427,63,
1428,96,
1429,124,
1430,125,
1431,58,
1432,134,
1433,83,
1434,76,
1435,58,
1436,8,
1437,27,
1438,72,
1439,189,
1440,190,
1441,74,
1442,83,
1443,125,
1444,29,
1445,101,
1446,101,
1447,98,
1448,53,
1449,49,
1450,47,
1451,38,
1452,29,
1453,89,
1454,80,
1455,49,
1456,46,
1457,42,
1458,58,
1459,68,
1460,35,
1461,67,
1462,50,
1463,75,
1464,65,
1465,49,
1466,44,
1467,28,
1468,56,
1469,154,
1470,100,
1471,181,
1472,170,
1473,26,
1474,63,
1475,42,
1476,51,
1477,56,
1478,66,
1479,49,
1480,105,
1481,47,
1482,127,
1483,131,
1484,45,
1485,99,
1486,138,
1487,32,
1488,96,
1489,50,
1490,59,
1491,79,
1492,147,
1493,48,
1494,97,
1495,30,
1496,35,
1497,49,
1498,140,
1499,41,
1500,57,
1501,48,
1502,54,
1503,52,
1504,23,
1505,32,
1506,116,
1507,59,
1508,80,
1509,61,
1510,103,
1511,169,
1512,55,
1513,28,
1514,115,
1515,181,
1516,70,
1517,34,
1518,49,
1519,139,
1520,46,
1521,61,
1522,105,
1523,32,
1524,30,
1525,133,
1526,216,
1527,37,
1528,69,
1529,106,
1530,31,
1531,16,
1532,147,
1533,26,
1534,139,
1535,91,
1536,31,
1537,98,
1538,78,
1539,68,
1540,130,
1541,51,
1542,148,
1543,123,
1544,42,
1545,139,
1546,101,
1547,26,
1548,23,
1549,23,
1550,53,
1551,147,
1552,114,
1553,40,
1554,48,
1555,58,
1556,84,
1557,82,
1558,157,
1559,67,
1560,107,
1561,28,
1562,73,
1563,97,
1564,110,
1565,97,
1566,41,
1567,52,
1568,109,
1569,15,
1570,57,
1571,27,
1572,119,
1573,59,
1574,86,
1575,20,
1576,155,
1577,266,
1578,89,
1579,33,
1580,95,
1581,125,
1582,67,
1583,41,
1584,76,
1585,128,
1586,35,
1587,103,
1588,68,
1589,52,
1590,251,
1591,75,
1592,32,
1593,61,
1594,84,
1595,106,
1596,66,
1597,135,
1598,31,
1599,65,
1600,89,
1601,20,
1602,45,
1603,47,
1604,76,
1605,45,
1606,122,
1607,49,
1608,133,
1609,37,
1610,127,
1611,99,
1612,66,
1613,169,
1614,95,
1615,97,
1616,11,
1617,124,
1618,40,
1619,47,
1620,20,
1621,240,
1622,48,
1623,55,
1624,93,
1625,26,
1626,49,
1627,49,
1628,175,
1629,36,
1630,112,
1631,71,
1632,281,
1633,47,
1634,42,
1635,91,
1636,50,
1637,43,
1638,119,
1639,109,
1640,77,
1641,166,
1642,231,
1643,146,
1644,105,
1645,110,
1646,47,
1647,58,
1648,53,
1649,84,
1650,186,
1651,101,
1652,43,
1653,89,
1654,68,
1655,289,
1656,73,
1657,57,
1658,96,
1659,31,
1660,31,
1661,26,
1662,65,
1663,59,
1664,104,
1665,94,
1666,157,
1667,33,
1668,124,
1669,57,
1670,102,
1671,82,
1672,33,
1673,43,
1674,34,
1675,75,
1676,130,
1677,129,
1678,108,
1679,62,
1680,61,
1681,92,
1682,53,
1683,30,
1684,114,
1685,70,
1686,97,
1687,130,
1688,56,
1689,44,
1690,29,
1691,37,
1692,72,
1693,44,
1694,62,
1695,26,
1696,58,
1697,58,
1698,94,
1699,51,
1700,32,
1701,27,
1702,49,
1703,52,
1704,79,
1705,123,
1706,68,
1707,74,
1708,93,
1709,157,
1710,156,
1711,37,
1712,110,
1713,120,
1714,31,
1715,180,
1716,36,
1717,48,
1718,76,
1719,138,
1720,86,
1721,124,
1722,136,
1723,73,
1724,30,
1725,63,
1726,53,
1727,138,
1728,22,
1729,19,
1730,61,
1731,36,
1732,105,
1733,239,
1734,217,
1735,25,
1736,38,
1737,151,
1738,91,
1739,35,
1740,62,
1741,69,
1742,44,
1743,71,
1744,25,
1745,147,
1746,33,
1747,90,
1748,129,
1749,42,
1750,120,
1751,84,
1752,49,
1753,123,
1754,107,
1755,59,
1756,78,
1757,89,
1758,15,
1759,103,
1760,80,
1761,53,
1762,84,
1763,108,
1764,91,
1765,47,
1766,9,
1767,72,
1768,65,
1769,28,
1770,13,
1771,169,
1772,48,
1773,42,
1774,31,
1775,79,
1776,40,
1777,176,
1778,71,
1779,151,
1780,79,
1781,49,
1782,23,
1783,121,
1784,48,
1785,92,
1786,21,
1787,146,
1788,39,
1789,53,
1790,71,
1791,97,
1792,74,
1793,69,
1794,81,
1795,118,
1796,55,
1797,72,
1798,134,
1799,28,
1800,65,
1801,50,
1802,59,
1803,93,
1804,145,
1805,20,
1806,11,
1807,102,
1808,166,
